ns_paper,dz_id
card 1992a ilrr,card_1992_ilrr_ca
card 1992b ilrr,card_1992_ilrr_regional
katz & krueger 1992 ilrr,kk_1992_ilrr
neumark wascher 1992 ilrr,
williams 1993 ae,
card krueger 1994 aer,
neumark wascher 1994 ilrr,
deere murphy welch 1995 aer pp,
kim taylor 1995 jbes,kt_1995_jbes
neumark wascher 1995a jbes,
currie fallick jhr 1996,cf_1996_jhr
partridge patridge 1999 jlr,
burkhauser couch wittenburg 2000a jole,bcw_2000_jole
burkhauser couch wittenburg 2000b sej,
card krueger 2000 aer,
michl 2000 eej,
neumark wascher 2000 aer,
zavodny 2000 le,zavodny_2000_le
neumark 2001 ir,
dodson 2002 jlr,
neumark wascher 2002 jhr,
orazem matilla 2002 jlr,
neumark schweitzer wascher 2004 jhr,nsw_2004_jhr
dube naidu reich 2007 ilrr,dnr_2007_ilrr
neumark nizalova 2007 jhr,nn_2007_jhr
singell terborg 2007 ei,
orrenius zavodny 2008 ilrr,oz_2008_ilrr
sabia 2008 jpam,sabia_2008_jpam
bazen le gallo 2009 el,
hoffman trace 2009 eej,
sabia 2009a ir,sabia_2009_ir
sabia 2009b jlr,sabia_2009_jlr
thompson 2009 ilrr,thompson_2009_ilrr
addison blackburn cotti 2009 le,abc_2009_le
dube lester reich 2010 restat,dlr_2010_restat
persky baiman 2010 jrap,
allegretto dube reich 2011 ir,adr_2011_ir
neumark wascher 2011 ilrr,
addison blackburn cotti 2012 bjir,abc_2012_bjir
sabia burkhauser hansen 2012 ilrr,sbh_2012_ilrr
addison blackburn cotti 2013 le,abc_2013_le
neumark salas wascher 2014a ilrr,
neumark salas wascher 2014b iza jlp,
even macpherson 2014 sej,em_2014_sej
hoffman 2014 bejeap,
addison blackburn cotti 2015 izajlp,abc_2015_izajle
hirsch kaufman zelenska 2015 ir,hkz_2015_ir
dube lester reich 2016 jole,dlr_2016_jole
gittings schmutte 2016 ilrr,gs_2016_ilrr
hoffman 2016 ilrr,
liu hyclak regmi 2016 labour,lhr_2016_labour
meer west 2016 jhr,
sabia burkhauser hansen 2016 ilrr,
allegretto dube reich zipperer 2017 ilrr,adrz_2017_ilrr
totty 2017 ei,totty_2017_ei
afst 2018 ier,
cengiz dube lindner zipperer 2019 qje,cdlz_2019_qje
clemens wither 2019 jpub,
even macpherson 2019 jlr,
monras 2019 jole,monras_2019_jole
wang phillips su 2019 el,
brummund strain 2020 jhr,
gilyard podemska-mikluch,
kim jang 2020 ijhm,
manning 2021 jep,manning_2021_jep
bailey dinardo stuart jole,bds_2021_jole
derenoncourt montialoux qje,dm_2021_qje
gopalan hamilton kalda sovich,ghks_2021_jole
kandilov kandilov jrs,
powell jbes,